days_to_event,event_count,vol_q5,vol_q10,vol_q25,vol_q50,vol_q75,vol_q90,vol_q95
-60,0,,,,,,,
-59,0,,,,,,,
-58,0,,,,,,,
-57,17200,5.188795984039815,8.317501463574455,15.75959775931556,30.75709550584651,59.1820439310403,104.98853662157182,148.4961479501143
-56,78587,6.014471436407374,9.154813728858114,16.893497342109328,31.467760338320872,57.27761125630834,97.7265716747553,134.15393230006734
-55,208801,6.494809114977902,9.703325277449995,17.638030818660003,32.06180564347554,57.029357912219204,96.02514078490071,131.59772334307308
-54,237813,7.8489728871863385,11.189599828676727,19.101889680081392,33.26099442229592,57.86578749338853,95.68116144962116,130.47429862420077
-53,238503,8.770005730417632,12.146012184359655,20.029090203849883,34.11404208187591,58.4396751677026,95.75642181376733,130.25976355198415
-52,238544,9.173695552960062,12.59578699297202,20.47291629160382,34.57266161543342,58.825080916771924,96.03180844442156,130.29668714506897
-51,238634,9.640988731661055,13.112568818220247,21.00219718894987,35.08540897848928,59.32425328575908,96.52360333125915,130.66088140166562
-50,238867,10.228531994298303,13.689190171266992,21.57603056792653,35.65574117227126,59.77715412931575,97.03011312826035,130.97718607864235
-49,239152,10.528496383461194,14.02434807079578,21.93831962224039,36.02078699383646,60.235438941583425,97.33561847260135,131.33259270431336
-48,239488,10.888454425163182,14.378572447703307,22.281823966467446,36.36393029719303,60.44594679167929,97.38518796345137,131.42326312598192
-47,239740,11.11544609144085,14.57712536454756,22.458951252209637,36.43285052696194,60.465915910432315,97.36487043653618,131.1595616050653
-46,239611,10.908460333020113,14.367184557699538,22.2482647955213,36.1866532290567,60.14094416196909,97.0938916130155,131.35823204050837
-45,239361,10.554088945048738,13.954614890422452,21.84679251295256,35.759891372318236,59.64792749186682,97.15660061094667,131.3812140539126
-44,239207,10.27996583252124,13.707965320254791,21.57846533909248,35.52821827274766,59.52807976500505,97.16393247270516,131.65977337371154
-43,239230,10.359269419583693,13.79885634561842,21.65268713021126,35.69049444109526,59.77479887366848,97.22307009113528,131.8664620457429
-42,239479,10.62431623151433,14.093004675615775,21.98120763957004,35.949678505655655,60.05089152746703,97.27904065021384,131.80790805672032
-41,239888,10.897769750025539,14.4115500758773,22.284746114044673,36.30612371693634,60.3871381254809,97.40259432466794,131.48193529193773
-40,240235,11.122150978559286,14.585773716473271,22.42694008547472,36.40427066698357,60.40132900739795,97.12168549790822,131.1623618095629
-39,240214,10.899816477662954,14.3670042383075,22.260037044024415,36.10424085251948,60.08563692646965,96.99107934128354,130.510921202453
-38,239729,10.501181491627506,13.973091247853963,21.85982765897298,35.70305361478203,59.76923773982735,96.48991211908793,130.22355452966897
-37,239359,10.273381183000115,13.683721700587792,21.571489088071967,35.5422166363889,59.56846143853609,96.46457435911643,130.72029446187827
-36,239284,10.303054022024893,13.73644879549788,21.663622195185475,35.696486581227106,59.76814658575978,96.79293451270573,130.77195618172715
-35,239730,10.592096758199478,14.031791991772298,21.983128672060445,36.02194560341351,60.071447963347346,96.69507727992014,130.60401688927024
-34,240244,10.909579757158838,14.33487220866605,22.266767988993397,36.37131910768734,60.21722840877787,96.70659472178558,129.8461815347099
-33,240618,11.055420967538762,14.504439624954367,22.421572354431042,36.41617621706919,60.220595577781566,96.43088628751407,129.46121959904403
-32,240544,10.87372396504797,14.286298184780826,22.168486667471175,36.10642816450609,59.93065814063138,96.14442613664168,129.44257360696216
-31,239901,10.443491037004819,13.861446085167305,21.755552906602947,35.691942936690914,59.505740561663465,95.64428862003209,129.37320807148595
-30,239496,10.229756163333882,13.628014869749183,21.501789869088068,35.479405489890425,59.47755753792801,95.85214155675013,129.54174289227322
-29,239545,10.289178565865878,13.726814741025253,21.53951616726801,35.582114650649984,59.68913624119552,96.07910097977924,129.83462947211464
-28,239855,10.547954246490233,14.003673522200959,21.911731567831996,35.85257185419199,59.97081925060812,96.57760816543949,129.77060229005394
-27,240258,10.850142146337557,14.322674784775119,22.216663771513037,36.15575960642367,60.14891525814828,96.53334811500793,129.44217772674267
-26,240554,11.013157689016792,14.482676260580764,22.386081870481284,36.2597692363485,60.23048537812849,96.5169622809733,129.29245707834585
-25,240531,10.810767152690651,14.294412311109541,22.134924204714487,36.0514486582717,59.955304618862485,96.25944631401117,129.16147868561302
-24,240291,10.383947947025256,13.845607949815712,21.679976752375183,35.641972291892046,59.53865938974482,95.8794547906276,129.2838442909239
-23,240052,10.178037454532824,13.604915375099711,21.429035264415084,35.462021096962076,59.37963899101808,96.31075979597244,129.86185883586347
-22,240084,10.23632250601493,13.6660976831477,21.545380185391306,35.544657051384114,59.537052034486635,96.32971377248025,130.34973832316805
-21,240552,10.47545370258446,13.926273506762735,21.820360259081667,35.83303873322102,59.76520417622757,96.90228880189045,130.59613144426189
-20,240955,10.826763083777664,14.255834063417186,22.131984763622928,36.123504911345464,60.06084312159541,96.97160415064275,130.0565451075927
-19,241261,10.984446566850785,14.462430691553893,22.333420367579173,36.229310772080666,60.17547136599762,96.87317918505617,130.13678237239463
-18,241292,10.75120558781864,14.24336761095068,22.105391661780065,36.025258706497645,59.952442806079794,96.57047123208076,130.115864679444
-17,241088,10.401318815320801,13.83867219569808,21.714215887495854,35.6579237694203,59.55491462143598,96.26295607887852,130.24938222363727
-16,240938,10.125239404628095,13.549823875850558,21.388237512380485,35.38578541005655,59.30743652129289,96.26488177802607,129.80326208949995
-15,240947,10.146246360810755,13.58296568765066,21.438469463149406,35.419417134108805,59.4188993021543,96.43241667225331,130.2192848184511
-14,241221,10.408519566201528,13.8550130846564,21.705000434001377,35.74720519698008,59.69574269925787,96.56988417340057,130.45858291963776
-13,241460,10.698121736485245,14.158956878004245,22.04958335496933,36.057426646580964,59.97074026535408,96.66175602139809,130.24668281344148
-12,241648,10.903803041515255,14.378330187438944,22.239216625819118,36.17337135529066,60.07618890990047,96.64584626423667,130.28736699522736
-11,241595,10.745461291311011,14.208756266403366,22.02357965248537,35.95165099947428,59.76594216501444,96.24527407201646,129.81093686681896
-10,241519,10.333284858557638,13.782967104492286,21.61182762012584,35.50228520165991,59.39017537774458,96.08064055964105,129.72104608181772
-9,241478,10.079618589998038,13.498169071509398,21.355630483660445,35.282467545447226,59.22003741723575,95.98053852362322,129.87802493509892
-8,241469,10.167605557067896,13.565208284177716,21.38344557256851,35.37125591358045,59.22384718921933,96.24593851202631,129.82980820808112
-7,241554,10.443618148736206,13.861952794137252,21.695294024198077,35.685326395142994,59.58867689105581,96.44634567461566,130.05032777817578
-6,241640,10.78390082232059,14.230719401069736,22.105089745332105,36.08957698170909,60.075557629435025,96.98035333470777,130.04649101131295
-5,241693,11.018180545622505,14.436941553950982,22.34911362269207,36.286912389455246,60.11515095614417,96.8868430200063,130.012173393456
-4,241701,10.868541138533727,14.329018592876485,22.24927930686745,36.25906013608185,59.962159960386685,96.79971399934506,129.970543056925
-3,241647,10.497676873952638,13.976566295092839,21.89425508946821,35.94752239523609,59.72572170885755,96.8534104544839,129.70760812282165
-2,241598,10.274433861203073,13.761060168725834,21.69694837728555,35.84646587594698,59.81343790727916,97.11906352023509,129.62713590604162
-1,241626,10.391213700199302,13.895693794259952,21.85579268575966,36.107570268594365,60.13573537590578,97.46347089149555,130.23016386682968
0,241675,10.726116821188514,14.274258636087781,22.384430637832466,36.70719973894768,60.862770022853084,98.13964634610683,131.15120095805983
1,241772,11.91114948490091,15.99853300499477,25.133034729043786,41.25535873128675,68.18319704001681,108.13769413136941,143.00095655943386
2,241825,13.233897976673836,17.9196808389375,28.564805185315024,47.370673339894594,77.91309863225823,120.90211163135034,157.75146909368524
3,241931,13.240081919185478,17.98132342946425,28.82711718313249,47.870342625680046,78.63699416946136,121.97761322431259,158.74743288485604
4,241937,13.081077674985345,17.830287641310317,28.901686645384554,48.298004910348006,79.74831059469535,124.33910630099442,162.18776880671578
5,242125,13.014276804580458,17.83310959165766,29.10863563618192,48.87813369256236,81.0116551622049,126.46343675300682,164.62702557987765
6,242541,13.086253300161967,17.970872840237895,29.28428219506157,49.19322777781511,81.51111548150965,127.02547170123009,165.32198542022172
7,242640,13.343356356747709,18.164199519970893,29.37887006965405,49.03871856933973,80.8270303847782,125.27122723280206,162.84806757283746
8,242695,13.591115005870497,18.419225219962,29.49683113963185,48.8597535994094,79.94795129836723,123.3597377693807,159.7026703787721
9,242702,13.715826611438434,18.47371677704362,29.445470630911338,48.49187838291283,79.17388827652294,121.52436131055813,157.5411393819178
10,242651,13.535658654445626,18.23654891241761,29.21414902349545,48.230624491447344,78.95812843758615,121.48559894407238,157.36707504643078
11,242579,12.19943636382439,16.465336693159795,26.285194560944433,43.898135811489766,72.97088235224285,114.26065771941795,149.31978836880202
12,242534,11.03238172151871,14.83973680093312,23.316153664455907,38.266772207863,63.09035230550533,99.27700309083394,131.14919626134724
13,242512,10.836832286822267,14.559729450174055,22.89471143840082,37.56500753396909,62.16180241917676,98.09561694425811,129.45577029546703
14,242527,10.894977617689312,14.629668188240258,22.90721908307625,37.380007884429354,61.74006435072586,97.15239589044249,127.74995864800682
15,242555,11.067100141594603,14.77561072398585,22.868565527159745,37.22014618288058,61.24149070059064,96.18451529574087,126.34330655047891
16,242585,11.144666081237093,14.768299383103365,22.76074800176831,36.96515389520245,60.63643968238076,95.08556868282861,125.00081317429822
17,242545,10.882749192652735,14.463385609388604,22.34479938016898,36.39168857088113,59.935259723471646,94.47853082085503,124.37730867381964
18,242432,10.441770187441838,13.944147342538855,21.759842250346562,35.70269674534518,59.23033965897635,93.71465516465418,124.1186558683178
19,242351,10.171747660897191,13.635949100631024,21.41973369169139,35.34606572324564,59.02312649757019,93.69610197977288,124.56311288786137
20,242315,10.143033242715141,13.647056618382758,21.45631141659884,35.36819975062344,59.01862342455158,93.90415619409718,124.64808463513695
21,242361,10.363504370819747,13.839529595871387,21.682466309901187,35.58977566144525,59.26455623827786,93.79428423645015,124.33661603437662
22,242440,10.61494938077371,14.110273691382622,21.93856535833289,35.81789666651736,59.34277655367752,93.84181313502668,124.4158380437263
23,242468,10.807309367343324,14.265530211965551,22.02589699661401,35.77842786456393,59.09035146674888,93.44114782243759,124.36635596797106
24,242417,10.584047145966888,14.06414367410136,21.79046838918338,35.42629997043157,58.74249489134762,92.98539656601672,124.0501174877561
25,242292,10.177782572688624,13.60683450994352,21.307368085878267,34.90503253078806,58.1401907794037,92.63637231784296,123.77935723205826
26,242213,9.940335561184632,13.297223400665029,21.037696699971693,34.71267301721376,58.07994178747082,92.9028534026514,124.7389371814924
27,242199,9.970617445372158,13.35657546683741,21.078888212140953,34.82399042677332,58.246671718597995,93.23483691854193,125.26826784166563
28,242213,10.183092870258985,13.621635266853565,21.37192690610746,35.13892080841414,58.50499110669961,93.65601725185934,126.00822703024348
29,242284,10.519385542176364,13.926955944376473,21.71483879131715,35.431154299962316,58.75088842966269,93.8548226429584,125.99581456966207
30,242327,10.62719533109861,14.073936522984527,21.865066459855445,35.498151849920305,58.72055235839268,93.6959551471416,125.74297817003946
31,242261,10.413573536495528,13.887236462882024,21.657304393552767,35.25343161785814,58.382921195800066,93.3284375583134,125.23708103960263
32,242129,9.996623794506846,13.466669941581651,21.21842372326465,34.89098753997944,58.030657220817346,92.9734279933776,125.29105300683064
33,241953,9.759355390173202,13.214688096749391,21.03853829608892,34.75564060195122,58.070145599955225,93.48173696925346,126.36452854503575
34,241835,9.868993817845423,13.306826401858155,21.180590975607217,34.92368078109751,58.311590833987566,93.97698547891223,127.09411528741629
35,241898,10.177520614903665,13.640167374095284,21.55758623774924,35.29832179451995,58.74430330012382,94.46086719238015,127.42551127998216
36,242070,10.53599312539101,14.033282379611597,21.933642951905405,35.69842615468608,59.108452602775245,94.72210318241522,127.51858710368292
